"case","order","gene"
"lung",1,"FAM83A"
"lung",2,"PLEKHA6"
"lung",3,"DKK1"
"lung",4,"SERPINE1"
"lung",5,"FOSL1"
"lung",6,"GJB3"
"lung",7,"CAMK2N1"
"lung",8,"TNS4"
"lung",9,"FSCN1"
"lung",10,"HLF"
"lung",11,"LAMC2"
"lung",12,"ANGPTL4"
"lung",13,"SLC2A1"
"lung",14,"RHOV"
"lung",15,"FGA"
"lung",16,"POPDC3"
"lung",17,"MYEOV"
"lung",18,"PKP2"
"lung",19,"BAIAP2L2"
"lung",20,"TFAP2A"
"lung",21,"RGMA"
"lung",22,"KLRG2"
"lung",23,"PCDH7"
"lung",24,"ERRFI1"
"lung",25,"ITGA6"
"lung",26,"B3GNT3"
"lung",27,"SLC7A5"
"lung",28,"MISP"
"lung",29,"TGM2"
"lung",30,"STC2"
"lung",31,"CLIC6"
"lung",32,"ID1"
"lung",33,"TMEM92"
"lung",34,"LY6K"
"lung",35,"ARNTL2"
"lung",36,"BIRC3"
"lung",37,"ANO1"
"lung",38,"CXCL17"
"lung",39,"FOXM1"
"lung",40,"JAG1"
"lung",41,"SUSD4"
"lung",42,"SERPINB5"
"lung",43,"PPP2R2C"
"lung",44,"MELTF"
"lung",45,"AREG"
"lung",46,"COL5A1"
"lung",47,"IL22RA1"
"lung",48,"NT5E"
"lung",49,"ITGB4"
"lung",50,"PCP4L1"
"lung",51,"KRT6A"
"lung",52,"PTPRH"
"lung",53,"HKDC1"
"lung",54,"SLC6A14"
"lung",55,"FA2H"
"lung",56,"GPRC5A"
"lung",57,"PLPPR1"
"lung",58,"SLC16A4"
"lung",59,"COBL"
"lung",60,"LYPD3"
"glioma",1,"EMP3"
"glioma",2,"IGFBP2"
"glioma",3,"MSN"
"glioma",4,"TGIF1"
"glioma",5,"TIMP1"
"glioma",6,"OSMR"
"glioma",7,"CHI3L1"
"glioma",8,"CLIC1"
"glioma",9,"STEAP3"
"glioma",10,"FBXO17"
"glioma",11,"VASN"
"glioma",12,"CD58"
"glioma",13,"EFEMP2"
"glioma",14,"TNFRSF12A"
"glioma",15,"WEE1"
"glioma",16,"PDPN"
"glioma",17,"RAB42"
"glioma",18,"LSP1"
"glioma",19,"FSTL1"
"glioma",20,"ARSD"
"glioma",21,"TNFRSF11B"
"glioma",22,"SERPING1"
"glioma",23,"DIRAS3"
"glioma",24,"TNFAIP6"
"glioma",25,"BMP2"
"glioma",26,"ANXA1"
"glioma",27,"HOXC4"
"glioma",28,"PLAUR"
"glioma",29,"CAPG"
"glioma",30,"SLC2A10"
"glioma",31,"PDLIM4"
"glioma",32,"DDIT4L"
"glioma",33,"PLP2"
"glioma",34,"C9orf64"
"glioma",35,"METTL7B"
"glioma",36,"MYD88"
"glioma",37,"RNF135"
"glioma",38,"ANXA2"
"glioma",39,"PLAT"
"glioma",40,"APOBEC3C"
"glioma",41,"GNG12"
"glioma",42,"AEBP1"
"glioma",43,"RBP1"
"glioma",44,"PLSCR1"
"glioma",45,"CSMD3"
"glioma",46,"FAM133A"
"glioma",47,"SERPINH1"
"glioma",48,"SEL1L3"
"glioma",49,"S100A11"
"glioma",50,"ARL4C"
"glioma",51,"F3"
"glioma",52,"SLC43A3"
"glioma",53,"FLNC"
"glioma",54,"PTX3"
"glioma",55,"MOXD1"
"glioma",56,"C1RL"
"glioma",57,"TRIP6"
"glioma",58,"NOG"
"glioma",59,"FKBP10"
"glioma",60,"KIF20A"
