case,cohort,type,file,sha256
lung,TCGA-LUAD,expression,TCGA-LUAD_expression.tsv.gz,1b4daab242b67578a1293cc1a8faf30b8f84b0bdd50a38b7b085015c1edcec54
lung,TCGA-LUAD,clinical,TCGA-LUAD_clinical.csv,ea3a341ab1d3d6a4b314532a7f012a8a636dae127cb1afae583ad45c354d4956
lung,TCGA-LUSC,expression,TCGA-LUSC_expression.tsv.gz,3a9225fdc920605ea741d6ea35d056b477f1c90cc11c7b3aedfa28ccd9890bb7
lung,TCGA-LUSC,clinical,TCGA-LUSC_clinical.csv,6ad3f861e8f326a2a9ffce975a3f8d8d04134fd19d126ef701f9ed0f829b7b99
lung,GSE3141,expression,GSE3141_expression.tsv.gz,a6d0bc8080e76c412aa2e38df5a165ce6b4a7f5c0d7f685b90cafb6d6f264ad0
lung,GSE3141,clinical,GSE3141_clinical.csv,8565281d8171318893f98a9a209ce3efd5a34426485cb196b6866c8f654e8242
glioma,TCGA-LGG,expression,TCGA-LGG_expression.tsv.gz,0ea5ceb156fbeac44a98cb10346cc67dd0fe3c16363b43e6b8f89fa598e86aa4
glioma,TCGA-LGG,clinical,TCGA-LGG_clinical.csv,b61979b5b09d5c2673a2f6b4d025e1afc9721f0275687bbd42c02a750ec7bad9
glioma,TCGA-GBM,expression,TCGA-GBM_expression.tsv.gz,da5fcc7d78b7eeda0c34922fa7ae091b0f7acc4d7e025d0696fcb5545c39f0ea
glioma,TCGA-GBM,clinical,TCGA-GBM_clinical.csv,fb16e845773a4562d5628ec70ba39745c39d4c3e5e74561a23c690b5ef1115e4
glioma,GSE43378,expression,GSE43378_expression.tsv.gz,fad95e39f1c0ee5096973a7e1cca6c5dd1285882c9e28d9f04ffb4c28caf97a6
glioma,GSE43378,clinical,GSE43378_clinical.csv,7e8d0bab6d0e71cc95ef66254771eb812b8c4e2e9577c4d65fa2a03c03ba3e6d
lung,combined,export,lung_worked_data.rds,a4b040f5747c54e0467d149d57ff7e494c717d2fbf1a3a1e6b34825dc8c426c7
glioma,combined,export,glioma_worked_data.rds,31a3b8829996b092d6bb5921d63c9ad986c27f94da10e0dc64a1da9953789efd
